hh_ids,m_ids_owner,trx_yr_mo,inc_i_byti,inc_i_byti_AGRI,inc_i_byti_CITMPC,inc_i_byti_NEINCG,inc_i_byti_REI,inc_i_byti_RIOI,inc_i_byti_RR,inc_i_byti_SEI
"KELDK14","105136582937000000","2013_08",4.77e-07,-9.411764,0,0,0,0,9.411765,0
"KELDK14","105136582937000000","2013_09",27.05882,27.05882,0,0,0,0,0,0
"KELDK14","56134346314800000","2012_11",21.76471,15.88235,0,0,0,0,5.882353,0
"KELDK14","56134346314800000","2012_12",4.941176,4.941176,0,0,0,0,0,0
"KELDK14","56134346314800000","2013_01",26.35294,18.11765,0,0,0,8.235294,0,0
"KELDK14","56134346314800000","2013_02",39.76471,19.76471,17.64706,0,0,2.352941,0,0
"KELDK14","56134346314800000","2013_03",60,24.70588,35.29412,0,0,0,0,0
"KELDK14","56134346314800000","2013_04",51.05882,26.35294,24.70588,0,0,0,0,0
"KELDK14","56134346314800000","2013_05",42.23529,21.64706,20.58824,0,0,0,0,0
"KELDK14","56134346314800000","2013_06",68.11765,22.23529,45.88235,0,0,0,0,0
"KELDK14","56134346314800000","2013_07",59.29412,20.47059,38.82353,0,0,0,0,0
"KELDK14","56134346314800000","2013_08",43.05883,14.82353,28.23529,0,0,0,0,0
"KELDK14","56134346314800000","2013_09",70.58823,0,70.58823,0,0,0,0,0
"KELDK14","56134346314800000","2013_10",14.11765,0,14.11765,0,0,0,0,0
"KELDK15","65134433094700000","2012_11",107.3529,0,94.41177,0,0,0,37.64706,-24.70588
"KELDK15","65134433094700000","2012_12",84.11765,84.11765,0,0,0,0,0,0
"KELDK15","65134433094700000","2013_01",-26.47058,31.76471,83.52941,0,0,0,7.647059,-149.4118
"KELDK15","65134433094700000","2013_02",804.7059,738.8235,117.6471,0,0,0,0,-51.76471
"KELDK15","65134433094700000","2013_03",499.4117,517.647,23.52941,0,0,0,0,-41.76471
"KELDK15","65134433094700000","2013_04",329.6235,211.7647,176.4706,0,0,0,0,-58.61176
"KELDK15","65134433094700000","2013_05",217.7647,102.5882,76.47059,0,0,0,0,38.70588
"KELDK15","65134433094700000","2013_06",556.1176,419.0588,117.6471,0,0,11.76471,0,7.647051
"KELDK15","65134433094700000","2013_07",39.41176,-20.58824,223.5294,0,0,0,0,-163.5294
"KELDK15","65134433094700000","2013_08",398.3765,106.9412,105.8824,0,0,0,0,185.5529
"KELDK15","65134433094700000","2013_09",-1376.471,158.8235,58.82353,0,0,0,0,-1594.118
"KELDK16","65134426405900000","2012_10",37.64706,11.17647,26.47059,0,0,0,0,0
"KELDK16","65134426405900000","2012_11",5.647059,5.647059,0,0,0,0,0,0
"KELDK16","65134426405900000","2012_12",20.82353,12.23529,8.588235,0,0,0,0,0
"KELDK16","65134426405900000","2013_01",16.47059,4.705883,11.76471,0,0,0,0,0
"KELDK16","65134426405900000","2013_02",41.17647,35.29412,5.882353,0,0,0,0,0
"KELDK16","65134426405900000","2013_03",117.6471,117.6471,0,0,0,0,0,0
"KELDK16","65134426405900000","2013_04",23.52941,0,23.52941,0,0,0,0,0
"KELDK16","65134426405900000","2013_05",198.2353,182.3529,15.88235,0,0,0,0,0
"KELDK16","65134426405900000","2013_06",55.29412,35.88235,19.41176,0,0,0,0,0
"KELDK16","65134426405900000","2013_07",67.64706,55.88235,11.76471,0,0,0,0,0
"KELDK16","65134426405900000","2013_08",35.88235,35.88235,0,0,0,0,0,0
"KELDK16","65134426405900000","2013_09",20,14.11765,5.882353,0,0,0,0,0
"KELDK16","65134426534400000","2013_04",2.352941,0,2.352941,0,0,0,0,0
"KELDK16","65134426534400000","2013_05",2.352941,0,2.352941,0,0,0,0,0
"KELDK16","65134426534400000","2013_06",1.764706,0,0,0,0,0,1.764706,0
"KELDK16","65134426534400000","2013_07",1.176471,0,0,0,0,0,1.176471,0
"KELDK17","56134329355600000","2012_11",120,120,0,0,0,0,0,0
"KELDK17","56134329355600000","2012_12",89.41177,89.41177,0,0,0,0,0,0
"KELDK17","56134329355600000","2013_01",124.7059,7.058824,0,0,0,0,117.6471,0
"KELDK17","56134329355600000","2013_02",58.82353,52.94118,0,0,0,5.882353,0,0
"KELDK17","56134329355600000","2013_03",43.58823,3.294118,4.705883,0,0,0,35.58823,0
"KELDK17","56134329355600000","2013_04",104.8823,64.35294,4.941176,0,0,0,35.58823,0
"KELDK17","56134329355600000","2013_05",96.94118,80,16.94118,0,0,0,0,0
"KELDK17","56134329355600000","2013_06",150.4941,129.3176,0,0,0,0,21.17647,0
"KELDK17","56134329355600000","2013_07",138.2353,85.88235,0,0,0,0,52.35294,0
"KELDK17","56134329355600000","2013_08",64.70589,64.70589,0,0,0,0,0,0
"KELDK17","56134329355600000","2013_09",70,67.05882,2.941176,0,0,0,0,0
"KELDK17","56134329365500000","2013_01",5.882353,0,0,0,0,5.882353,0,0
"KELDK18","56134328473900000","2012_11",102.3529,94.11765,0,0,0,0,8.235294,0
"KELDK18","56134328473900000","2012_12",215.2941,188.2353,0,0,0,0,27.05882,0
"KELDK18","56134328473900000","2013_01",334.7059,322.9412,0,0,0,0,11.76471,0
"KELDK18","56134328473900000","2013_02",47.05882,47.05882,0,0,0,0,0,0
"KELDK18","56134328473900000","2013_03",658.8235,658.8235,0,0,0,0,0,0
"KELDK18","56134328473900000","2013_04",-35.29412,-35.29412,0,0,0,0,0,0
"KELDK18","56134328473900000","2013_05",84.70588,84.70588,0,0,0,0,0,0
"KELDK18","56134328473900000","2013_06",81.17647,81.17647,0,0,0,0,0,0
"KELDK18","56134328473900000","2013_07",43.52941,43.52941,0,0,0,0,0,0
