hh_ids,trx_yr_mo,inc_hh_byti,con_pur_hh_byti,con_prod_hh_byti,dem_urban,dem_hh_size,dem_pae_oecd,dem_pae_kihbs,con_hh_byti,inc_hh_byti_pae_oecd,con_hh_byti_pae_oecd,inc_hh_byti_pae_kihbs,con_hh_byti_pae_kihbs,inc_below_1_usd_oecd,con_below_1_usd_oecd,inc_below_1_usd_kihbs,con_below_1_usd_kihbs,inc_below_2_usd_oecd,con_below_2_usd_oecd,inc_below_2_usd_kihbs,con_below_2_usd_kihbs,inc_below_5_usd_oecd,con_below_5_usd_oecd,inc_below_5_usd_kihbs,con_below_5_usd_kihbs
"KELDK08","2013_04",43.88235,30.23529,0,0,3,2.2,2.24,30.23529,.6539844,.4506005,.6423061,.4425541,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK08","2013_05",66.11765,45.11765,0,0,3,2.2,2.24,45.11765,.9853599,.6723942,.9677643,.6603872,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK08","2013_06",55.17647,50.23529,0,0,3,2.2,2.24,50.23529,.822302,.7486631,.8076181,.7352941,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK08","2013_07",43.52941,32.41177,0,0,3,2.2,2.24,32.41177,.6487244,.4830367,.6371401,.4744111,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK08","2013_08",34.70588,46.52941,0,0,3,2.2,2.24,46.52941,.5172263,.6934338,.5079901,.6810511,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK08","2013_09",35.29412,34,0,0,3,2.2,2.24,34,.5259928,.5067064,.5166001,.4976581,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK08","2013_10",35.29412,9.411765,0,0,3,2.2,2.24,9.411765,.5259928,.1402647,.5166001,.13776,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK09","2012_11",32.94118,70.11765,0,0,2,1.5,1.65,70.11765,.7200258,1.532626,.6545689,1.393296,1,0,1,0,1,1,1,1,1,1,1,1
"KELDK09","2012_12",241.7647,208.5882,0,0,2,1.5,1.65,208.5882,5.284474,4.559306,4.804068,4.144823,0,0,0,0,0,0,0,0,0,1,1,1
"KELDK09","2013_01",5.294114,213,0,0,2,1.5,1.65,213,.1157183,4.655738,.1051985,4.232489,1,0,1,0,1,0,1,0,1,1,1,1
"KELDK09","2013_02",274.8235,75.47059,0,0,2,1.5,1.65,75.47059,6.007072,1.64963,5.460975,1.499664,0,0,0,0,0,1,0,1,0,1,0,1
"KELDK09","2013_03",166.4706,69.29412,0,0,2,1.5,1.65,69.29412,3.638702,1.514626,3.30791,1.376932,0,0,0,0,0,1,0,1,1,1,1,1
"KELDK09","2013_04",105.8824,89.58823,0,0,2,1.5,1.65,89.58823,2.314368,1.958213,2.103971,1.780193,0,0,0,0,0,1,0,1,1,1,1,1
"KELDK09","2013_05",27.05883,50.64706,0,0,2,1.5,1.65,50.64706,.5914499,1.10704,.5376817,1.0064,1,0,1,0,1,1,1,1,1,1,1,1
"KELDK09","2013_06",445.1765,56.05882,0,0,2,1.5,1.65,56.05882,9.730634,1.225329,8.84603,1.113936,0,0,0,0,0,1,0,1,0,1,0,1
"KELDK09","2013_07",117.8824,42.35294,0,0,2,1.5,1.65,42.35294,2.576663,.9257473,2.342421,.8415885,0,1,0,1,0,1,0,1,1,1,1,1
"KELDK09","2013_08",4.235295,96.2353,0,0,2,1.5,1.65,96.2353,.0925748,2.103504,.0841589,1.912276,1,0,1,0,1,0,1,1,1,1,1,1
"KELDK09","2013_09",22.82353,129.6471,0,0,2,1.5,1.65,129.6471,.4988749,2.833816,.4535227,2.576196,1,0,1,0,1,0,1,0,1,1,1,1
"KELDK10","2012_11",199.4118,82.11765,0,0,1,1,1,82.11765,6.53809,2.692382,6.53809,2.692382,0,0,0,0,0,0,0,0,0,1,0,1
"KELDK10","2012_12",23.76471,76.41177,0,0,1,1,1,76.41177,.7791708,2.505304,.7791708,2.505304,1,0,1,0,1,0,1,0,1,1,1,1
"KELDK10","2013_01",104,112.8235,0,0,1,1,1,112.8235,3.409836,3.699132,3.409836,3.699132,0,0,0,0,0,0,0,0,1,1,1,1
"KELDK10","2013_02",215.4118,91.41177,0,0,1,1,1,91.41177,7.062681,2.997107,7.062681,2.997107,0,0,0,0,0,0,0,0,0,1,0,1
"KELDK10","2013_03",159.2941,141.5882,0,0,1,1,1,141.5882,5.222758,4.642238,5.222758,4.642238,0,0,0,0,0,0,0,0,0,1,0,1
"KELDK10","2013_04",90.11765,96.47059,0,0,1,1,1,96.47059,2.954677,3.16297,2.954677,3.16297,0,0,0,0,0,0,0,0,1,1,1,1
"KELDK10","2013_05",21.17647,53.76471,0,0,1,1,1,53.76471,.6943105,1.762777,.6943105,1.762777,1,0,1,0,1,1,1,1,1,1,1,1
"KELDK10","2013_06",169.3765,58.76471,0,0,1,1,1,58.76471,5.553327,1.926712,5.553327,1.926712,0,0,0,0,0,1,0,1,0,1,0,1
"KELDK10","2013_07",33.76471,64.88235,0,0,1,1,1,64.88235,1.10704,2.12729,1.10704,2.12729,0,0,0,0,1,0,1,0,1,1,1,1
"KELDK10","2013_08",73.2353,55.17647,0,0,1,1,1,55.17647,2.401157,1.809065,2.401157,1.809065,0,0,0,0,0,1,0,1,1,1,1,1
"KELDK10","2013_09",112.2235,32.11765,0,0,1,1,1,32.11765,3.67946,1.053038,3.67946,1.053038,0,0,0,0,0,1,0,1,1,1,1,1
"KELDK10","2013_10",10,.4705882,0,0,1,1,1,.4705882,.3278688,.0154291,.3278688,.0154291,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK12","2012_10",2.352941,5.411765,14.79832,0,4,2.7,2.89,20.21008,.0285724,.2454169,.026694,.2292823,1,1,1,1,1,1,1,1,1,1,1,1
"KELDK12","2012_11",90.70588,46.35294,32.10084,0,4,2.7,2.89,78.45378,1.101468,.9526871,1.029053,.8900536,0,1,0,1,1,1,1,1,1,1,1,1
