hh_ids,trx_yr_mo,rem_hh_count_byti,rem_hh_abs_byti,rem_hh_net_byti,rem_hh_count_byti_RG,rem_hh_abs_byti_RG,rem_hh_count_byti_RR,rem_hh_abs_byti_RR,rem_hh_count_byti_cash,rem_hh_abs_byti_cash,rem_hh_net_byti_cash,rem_hh_count_byti_inkind,rem_hh_abs_byti_inkind,rem_hh_net_byti_inkind,rem_hh_count_byti_mm,rem_hh_abs_byti_mm,rem_hh_net_byti_mm,rem_hh_count_byti_other,rem_hh_abs_byti_other,rem_hh_net_byti_other
"KELDS09","2012_11",2,5.411765,5.411765,0,0,2,5.411765,0,0,0,2,5.411765,5.411765,0,0,0,0,0,0
"KELDS09","2012_12",2,10.23529,10.23529,0,0,2,10.23529,1,6.705883,6.705883,1,3.529412,3.529412,0,0,0,0,0,0
"KELDS09","2013_01",4,15.41176,15.41176,0,0,4,15.41176,3,10.58824,10.58824,1,4.823529,4.823529,0,0,0,0,0,0
"KELDS09","2013_03",15,48.47059,48.47059,0,0,15,48.47059,14,42.35294,42.35294,1,6.117647,6.117647,0,0,0,0,0,0
"KELDS09","2013_04",30,101.1765,101.1765,0,0,30,101.1765,30,101.1765,101.1765,0,0,0,0,0,0,0,0,0
"KELDS09","2013_05",20,77.64706,77.64706,0,0,20,77.64706,20,77.64706,77.64706,0,0,0,0,0,0,0,0,0
"KELDS09","2013_06",7,28.82353,28.82353,0,0,7,28.82353,6,28.23529,28.23529,1,.5882353,.5882353,0,0,0,0,0,0
"KELDS09","2013_07",12,22.94118,22.94118,0,0,12,22.94118,12,22.94118,22.94118,0,0,0,0,0,0,0,0,0
"KELDS09","2013_08",13,37.64706,37.64706,0,0,13,37.64706,13,37.64706,37.64706,0,0,0,0,0,0,0,0,0
"KELDS09","2013_09",9,31.76471,31.76471,0,0,9,31.76471,9,31.76471,31.76471,0,0,0,0,0,0,0,0,0
"KELDS10","2012_10",1,1.176471,1.176471,0,0,1,1.176471,1,1.176471,1.176471,0,0,0,0,0,0,0,0,0
"KELDS10","2013_03",7,8.235294,-8.235294,7,8.235294,0,0,0,0,0,7,8.235294,-8.235294,0,0,0,0,0,0
"KELDS10","2013_04",32,45.29412,-25.29412,30,35.29412,2,10,1,2.352941,2.352941,31,42.94118,-27.64706,0,0,0,0,0,0
